histoM,binsM
0,3.89846801757813
4,11.7110290527344
180,19.5235900878906
2619,27.3361511230469
18602,35.1487121582031
37007,42.9612731933594
48810,50.7738342285156
53901,58.5863952636719
59998,66.3989562988281
63735,74.2115173339844
55475,82.0240783691406
60411,89.8366394042969
56537,97.6492004394531
52625,105.461761474609
48887,113.274322509766
39404,121.086883544922
41294,128.899444580078
37300,136.712005615234
34437,144.524566650391
31637,152.337127685547
28408,160.149688720703
22570,167.962249755859
23413,175.774810791016
21265,183.587371826172
19203,191.399932861328
17381,199.212493896484
13486,207.025054931641
13685,214.837615966797
12161,222.650177001953
10546,230.462738037109
9575,238.275299072266
7589,246.087860107422
7892,253.900421142578
7371,261.712982177734
6773,269.525543212891
6184,277.338104248047
5764,285.150665283203
4603,292.963226318359
4979,300.775787353516
4466,308.588348388672
4180,316.400909423828
3781,324.213470458984
3154,332.026031494141
3379,339.838592529297
3300,347.651153564453
3083,355.463714599609
2751,363.276275634766
2230,371.088836669922
2477,378.901397705078
2399,386.713958740234
2215,394.526519775391
2010,402.339080810547
2026,410.151641845703
1677,417.964202880859
1854,425.776763916016
1807,433.589324951172
1678,441.401885986328
1669,449.214447021484
1435,457.027008056641
1600,464.839569091797
1546,472.652130126953
1500,480.464691162109
1421,488.277252197266
1252,496.089813232422
1477,503.902374267578
1439,511.714935302734
1416,519.527496337891
1435,527.340057373047
1340,535.152618408203
1183,542.965179443359
1327,550.777740478516
1327,558.590301513672
1354,566.402862548828
1317,574.215423583984
1136,582.027984619141
1208,589.840545654297
1250,597.653106689453
1227,605.465667724609
1217,613.278228759766
1095,621.090789794922
1293,628.903350830078
1182,636.715911865234
1173,644.528472900391
1190,652.341033935547
1114,660.153594970703
950,667.966156005859
1101,675.778717041016
1030,683.591278076172
1012,691.403839111328
999,699.216400146484
857,707.028961181641
918,714.841522216797
951,722.654083251953
947,730.466644287109
883,738.279205322266
741,746.091766357422
884,753.904327392578
916,761.716888427734
812,769.529449462891
922,777.342010498047
850,785.154571533203
707,792.967132568359
867,800.779693603516
888,808.592254638672
821,816.404815673828
866,824.217376708984
708,832.029937744141
831,839.842498779297
776,847.655059814453
750,855.467620849609
867,863.280181884766
723,871.092742919922
755,878.905303955078
778,886.717864990234
779,894.530426025391
753,902.342987060547
747,910.155548095703
664,917.968109130859
739,925.780670166016
716,933.593231201172
785,941.405792236328
724,949.218353271484
687,957.030914306641
665,964.843475341797
669,972.656036376953
705,980.468597412109
643,988.281158447266
579,996.093719482422
705,1003.90628051758
689,1011.71884155273
660,1019.53140258789
637,1027.34396362305
658,1035.1565246582
557,1042.96908569336
655,1050.78164672852
683,1058.59420776367
601,1066.40676879883
653,1074.21932983398
523,1082.03189086914
618,1089.8444519043
622,1097.65701293945
561,1105.46957397461
546,1113.28213500977
607,1121.09469604492
487,1128.90725708008
586,1136.71981811523
582,1144.53237915039
543,1152.34494018555
506,1160.1575012207
479,1167.97006225586
504,1175.78262329102
519,1183.59518432617
531,1191.40774536133
475,1199.22030639648
420,1207.03286743164
492,1214.8454284668
446,1222.65798950195
462,1230.47055053711
449,1238.28311157227
474,1246.09567260742
393,1253.90823364258
470,1261.72079467773
478,1269.53335571289
435,1277.34591674805
433,1285.1584777832
385,1292.97103881836
447,1300.78359985352
447,1308.59616088867
430,1316.40872192383
426,1324.22128295898
397,1332.03384399414
466,1339.8464050293
448,1347.65896606445
444,1355.47152709961
488,1363.28408813477
436,1371.09664916992
369,1378.90921020508
427,1386.72177124023
462,1394.53433227539
417,1402.34689331055
406,1410.1594543457
351,1417.97201538086
419,1425.78457641602
407,1433.59713745117
399,1441.40969848633
392,1449.22225952148
343,1457.03482055664
387,1464.8473815918
427,1472.65994262695
418,1480.47250366211
464,1488.28506469727
407,1496.09762573242
406,1503.91018676758
394,1511.72274780273
443,1519.53530883789
429,1527.34786987305
410,1535.1604309082
362,1542.97299194336
444,1550.78555297852
442,1558.59811401367
433,1566.41067504883
412,1574.22323608398
391,1582.03579711914
447,1589.8483581543
421,1597.66091918945
433,1605.47348022461
427,1613.28604125977
407,1621.09860229492
359,1628.91116333008
420,1636.72372436523
411,1644.53628540039
447,1652.34884643555
387,1660.1614074707
362,1667.97396850586
458,1675.78652954102
425,1683.59909057617
415,1691.41165161133
414,1699.22421264648
417,1707.03677368164
404,1714.8493347168
414,1722.66189575195
412,1730.47445678711
413,1738.28701782227
432,1746.09957885742
361,1753.91213989258
455,1761.72470092773
430,1769.53726196289
431,1777.34982299805
402,1785.1623840332
384,1792.97494506836
411,1800.78750610352
446,1808.60006713867
410,1816.41262817383
409,1824.22518920898
369,1832.03775024414
443,1839.8503112793
430,1847.66287231445
418,1855.47543334961
407,1863.28799438477
439,1871.10055541992
334,1878.91311645508
422,1886.72567749023
404,1894.53823852539
388,1902.35079956055
410,1910.1633605957
358,1917.97592163086
433,1925.78848266602
415,1933.60104370117
386,1941.41360473633
405,1949.22616577148
336,1957.03872680664
377,1964.8512878418
390,1972.66384887695
387,1980.47640991211
348,1988.28897094727
402,1996.10153198242
